site_id,site_name,method,latitude,longitude,position,species,detail
ruvs-1a,RUVS site 1A,Underwater video (RUVS),42.985412,-70.619865,surveyed GPS,Atlantic Cod,dot-hi
ruvs-1a,RUVS site 1A,Underwater video (RUVS),42.985412,-70.619865,surveyed GPS,Atlantic Pollock,dot-lo
ruvs-1a,RUVS site 1A,Underwater video (RUVS),42.985412,-70.619865,surveyed GPS,Cunner,dot-lo
ruvs-2a,RUVS site 2A,Underwater video (RUVS),42.988339,-70.617961,surveyed GPS,Atlantic Cod,dot-hi
ruvs-2a,RUVS site 2A,Underwater video (RUVS),42.988339,-70.617961,surveyed GPS,Atlantic Pollock,dot-lo
ruvs-2a,RUVS site 2A,Underwater video (RUVS),42.988339,-70.617961,surveyed GPS,Cunner,dot-lo
ruvs-2b,RUVS site 2B,Underwater video (RUVS),42.988518,-70.620651,surveyed GPS,Atlantic Cod,dot-hi
ruvs-2b,RUVS site 2B,Underwater video (RUVS),42.988518,-70.620651,surveyed GPS,Cunner,dot-lo
ruvs-5a,RUVS site 5A,Underwater video (RUVS),42.990495,-70.611144,surveyed GPS,Atlantic Cod,dot-hi
ruvs-5a,RUVS site 5A,Underwater video (RUVS),42.990495,-70.611144,surveyed GPS,Atlantic Pollock,dot-hi
ruvs-5a,RUVS site 5A,Underwater video (RUVS),42.990495,-70.611144,surveyed GPS,Cunner,dot-lo
ruvs-5a,RUVS site 5A,Underwater video (RUVS),42.990495,-70.611144,surveyed GPS,Rock Gunnel,dot-hi
ruvs-5a,RUVS site 5A,Underwater video (RUVS),42.990495,-70.611144,surveyed GPS,Winter Flounder,dot-lo
ruvs-4a,RUVS site 4A,Underwater video (RUVS),42.992913,-70.61334,surveyed GPS,Atlantic Cod,dot-lo
ruvs-4a,RUVS site 4A,Underwater video (RUVS),42.992913,-70.61334,surveyed GPS,Atlantic Pollock,dot-hi
ruvs-4a,RUVS site 4A,Underwater video (RUVS),42.992913,-70.61334,surveyed GPS,Cunner,dot-lo
